1,The Trial,Franz Kafka,"Written in 1914 but not published until 1925, a year after Kafka’s death, The Trial is the terrifying tale of Josef K., a respectable bank officer who is suddenly and inexplicably arrested and must defend himself against a charge about which he can get no information. Whether read as an existential tale, a parable, or a prophecy of the excesses of modern bureaucracy wedded to the madness of totalitarianism, The Trial has resonated with chilling truth for generations of readers.",3.99,Classics,[],"[""Helen and Kurt Wolff Translator's Prize Nominee for Breon Mitchell (1999)""]","The Trial
Franz Kafka
Classics
Written in 1914 but not published until 1925, a year after Kafka’s death, The Trial is the terrifying tale of Josef K., a respectable bank officer who is suddenly and inexplicably arrested and must defend himself against a charge about which he can get no information. Whether read as an existential tale, a parable, or a prophecy of the excesses of modern bureaucracy wedded to the madness of totalitarianism, The Trial has resonated with chilling truth for generations of readers.
3.99
Helen and Kurt Wolff Translator's Prize Nominee for Breon Mitchell (1999)"
2,Go Ask Alice,Beatrice Sparks,"A teen plunges into a downward spiral of addiction in this classic cautionary tale.
January 24th After you've had it, there isn't even life without drugs....
 It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean streets of an unforgiving city. It was a journey that would rob her of her innocence, her youth -- and ultimately her life.
Read her diary. Enter her world. You will never forget her.
 For thirty-five years, the acclaimed, bestselling first-person account of a teenage girl's harrowing decent into the nightmarish world of drugs has left an indelible mark on generations of teen readers. As powerful -- and as timely -- today as ever, Go Ask Alice remains the definitive book on the horrors of addiction.",3.76,Fiction,[],[],"Go Ask Alice
Beatrice Sparks
Fiction
A teen plunges into a downward spiral of addiction in this classic cautionary tale.
January 24th After you've had it, there isn't even life without drugs....
 It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean streets of an unforgiving city. It was a journey that would rob her of her innocence, her youth -- and ultimately her life.
Read her diary. Enter her world. You will never forget her.
 For thirty-five years, the acclaimed, bestselling first-person account of a teenage girl's harrowing decent into the nightmarish world of drugs has left an indelible mark on generations of teen readers. As powerful -- and as timely -- today as ever, Go Ask Alice remains the definitive book on the horrors of addiction.
3.7"
3,Emma,Jane Austen,"Clever, rich - and single - Emma Woodhouse is perfectly content with her life and sees no need for either love or marriage. Nothing, however, delights her more than interfering in the romantic lives of others. But when she ignores the warnings of her good friend Mr. Knightley and attempts to arrange a suitable match for her protegee Harriet Smith, her carefully laid plans soon unravel and have consequences that she never expected. With its imperfect but charming heroine and its witty and subtle exploration of relationships, Emma is often seen as Jane Austen's most flawless work.",3.99,Classics,[],[],"Emma
Jane Austen
Classics
Clever, rich - and single - Emma Woodhouse is perfectly content with her life and sees no need for either love or marriage. Nothing, however, delights her more than interfering in the romantic lives of others. But when she ignores the warnings of her good friend Mr. Knightley and attempts to arrange a suitable match for her protegee Harriet Smith, her carefully laid plans soon unravel and have consequences that she never expected. With its imperfect but charming heroine and its witty and subtle exploration of relationships, Emma is often seen as Jane Austen's most flawless work.
3.9"
4,Fight Club,Chuck Palahniuk,,4.2,Fiction,[],['Oregon Book Award for Fiction (1997)'],"Fight Club
Chuck Palahniuk
Fiction

4.2
Oregon Book Award for Fiction (1997)"
5,Atonement,Ian McEwan,"Ian McEwan’s symphonic novel of love and war, childhood and class, guilt and forgiveness provides all the satisfaction of a brilliant narrative and the provocation we have come to expect from this master of English prose.On a hot summer day in 1934, thirteen-year-old Briony Tallis witnesses a moment’s flirtation between her older sister, Cecilia, and Robbie Turner, the son of a servant and Cecilia’s childhood friend. But Briony’s incomplete grasp of adult motives—together with her precocious literary gifts—brings about a crime that will change all their lives. As it follows that crime’s repercussions through the chaos and carnage of World War II and into the close of the twentieth century, Atonement engages the reader on every conceivable level, with an ease and authority that mark it as a genuine masterpiece.",3.88,Fiction,[],"['Man Booker Prize Nominee (2001)', 'James Tait Black Memorial Prize Nominee for Fiction (2001)', 'WH Smith Literary Award (2002)', 'Los Angeles Times Book Prize for Fiction (2002)', 'Exclusive Books Boeke Prize (2002)', 'National Book Critics Circle Award for Fiction (2002)', ""Commonwealth Writers' Prize for Best Book in South Asia and Europe (2002)"", 'Deutscher Bücherpreis for Internationale Belletristik (2003)', 'Premi Llibreter de narrativa Nominee (2003)']","Atonement
Ian McEwan
Fiction
Ian McEwan’s symphonic novel of love and war, childhood and class, guilt and forgiveness provides all the satisfaction of a brilliant narrative and the provocation we have come to expect from this master of English prose.On a hot summer day in 1934, thirteen-year-old Briony Tallis witnesses a moment’s flirtation between her older sister, Cecilia, and Robbie Turner, the son of a servant and Cecilia’s childhood friend. But Briony’s incomplete grasp of adult motives—together with her precocious literary gifts—brings about a crime that will change all their lives. As it follows that crime’s repercussions through the chaos and carnage of World War II and into the close of the twentieth century, Atonement engages the reader on every conceivable level, with an ease and authority that mark it as a genuine masterpiece.
3.88
Man Booker Prize Nominee (2001), James Tait Black Memorial Prize Nominee for Fiction (2001), WH Smith Literary Award (2002), Los Angeles Times Book Prize for Fiction (2002), Exclusive Books Boeke Prize (2002), National Book Critics Circle Award for Fiction (2002), Commonwealth Writers' Prize for Best Book in South Asia and Europe (2002), Deutscher Bücherpreis for Internationale Belletristik (2003), Premi Llibreter de narrativa Nominee (2003)"
6,Blood River: A Journey to Africa's Broken Heart,Tim Butcher,"A compulsively readable account of a journey to the Congo — a country virtually inaccessible to the outside world — vividly told by a daring and adventurous journalist.Ever since Stanley first charted its mighty river in the 1870s, the Congo has epitomized the dark and turbulent history of a failed continent. However, its troubles only served to increase the interest of Daily Telegraph correspondent Tim Butcher, who was sent to cover Africa in 2000. Before long he became obsessed with the idea of recreating Stanley’s original expedition — but travelling alone.Despite warnings Butcher spent years poring over colonial-era maps and wooing rebel leaders before making his will and venturing to the Congo’s eastern border. He passed through once thriving cities of this country and saw the marks left behind by years of abuse and misrule. Almost, 2,500 harrowing miles later, he reached the Atlantic Ocean, a thinner and a wiser man.Butcher’s journey was a remarkable feat. But the story of the Congo, vividly told in Blood River, is more remarkable still.From the Hardcover edition.",4.05,Cultural,[],"['Ryszard Kapuściński Prize Nominee (2009)', 'Samuel Johnson Prize for Non-Fiction Nominee (2008)', 'Stanford Dolman Travel Book of the Year Nominee (2008)']","Blood River: A Journey to Africa's Broken Heart
Tim Butcher
Cultural
A compulsively readable account of a journey to the Congo — a country virtually inaccessible to the outside world — vividly told by a daring and adventurous journalist.Ever since Stanley first charted its mighty river in the 1870s, the Congo has epitomized the dark and turbulent history of a failed continent. However, its troubles only served to increase the interest of Daily Telegraph correspondent Tim Butcher, who was sent to cover Africa in 2000. Before long he became obsessed with the idea of recreating Stanley’s original expedition — but travelling alone.Despite warnings Butcher spent years poring over colonial-era maps and wooing rebel leaders before making his will and venturing to the Congo’s eastern border. He passed through once thriving cities of this country and saw the marks left behind by years of abuse and misrule. Almost, 2,500 harrowing miles later, he reached the Atlantic Ocean, a thinner and a wiser man.Butcher’s journey was a remarkable feat. But the story of the Congo, vividly told in Blood River, is more remarkable still.From the Hardcover edition.
4.05
Ryszard Kapuściński Prize Nominee (2009), Samuel Johnson Prize for Non-Fiction Nominee (2008), Stanford Dolman Travel Book of the Year Nominee (2008)"
7,The Mists of Avalon,Marion Zimmer Bradley,"Here is the magical legend of King Arthur, vividly retold through the eyes and lives of the women who wielded power from behind the throne. A spellbinding novel, an extraordinary literary achievement, THE MISTS OF AVALON will stay with you for a long time to come....",4.12,Fantasy,[],['Locus Award for Best Fantasy Novel (1984)'],"The Mists of Avalon
Marion Zimmer Bradley
Fantasy
Here is the magical legend of King Arthur, vividly retold through the eyes and lives of the women who wielded power from behind the throne. A spellbinding novel, an extraordinary literary achievement, THE MISTS OF AVALON will stay with you for a long time to come....
4.12
Locus Award for Best Fantasy Novel (1984)"
8,The Sun Also Rises,Ernest Hemingway,"The quintessential novel of the Lost Generation, The Sun Also Rises is one of Ernest Hemingway's masterpieces and a classic example of his spare but powerful writing style. A poignant look at the disillusionment and angst of the post-World War I generation, the novel introduces two of Hemingway's most unforgettable characters: Jake Barnes and Lady Brett Ashley. The story follows the flamboyant Brett and the hapless Jake as they journey from the wild nightlife of 1920s Paris to the brutal bullfighting rings of Spain with a motley group of expatriates. It is an age of moral bankruptcy, spiritual dissolution, unrealized love, and vanishing illusions. First published in 1926, The Sun Also Rises helped to establish Hemingway as one of the greatest writers of the twentieth century.",3.82,Classics,[],[],"The Sun Also Rises
Ernest Hemingway
Classics
The quintessential novel of the Lost Generation, The Sun Also Rises is one of Ernest Hemingway's masterpieces and a classic example of his spare but powerful writing style. A poignant look at the disillusionment and angst of the post-World War I generation, the novel introduces two of Hemingway's most unforgettable characters: Jake Barnes and Lady Brett Ashley. The story follows the flamboyant Brett and the hapless Jake as they journey from the wild nightlife of 1920s Paris to the brutal bullfighting rings of Spain with a motley group of expatriates. It is an age of moral bankruptcy, spiritual dissolution, unrealized love, and vanishing illusions. First published in 1926, The Sun Also Rises helped to establish Hemingway as one of the greatest writers of the twentieth century.
3.8"
9,My Sister's Keeper,Jodi Picoult,"Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions, and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. The product of preimplantation genetic diagnosis, Anna was conceived as a bone marrow match for Kate -- a life and a role that she has never challenged... until now. Like most teenagers, Anna is beginning to question who she truly is. But unlike most teenagers, she has always been defined in terms of her sister—and so Anna makes a decision that for most would be unthinkable, a decision that will tear her family apart and have perhaps fatal consequences for the sister she loves.A provocative novel that raises some important ethical issues, My Sister's Keeper is the story of one family's struggle for survival at all human costs and a stunning parable for all time.",4.06,Fiction,[],"['Audie Award for Multi-Voiced Performance (2005)', ""Pennsylvania Young Readers' Choice Award for Young Adults (2007)"", 'ALA Alex Award (2005)', 'Lincoln Award (2006)', 'Green Mountain Book Award (2007)', 'Missouri Gateway Readers Award Nominee (2007)']","My Sister's Keeper
Jodi Picoult
Fiction
Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions, and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. The product of preimplantation genetic diagnosis, Anna was conceived as a bone marrow match for Kate -- a life and a role that she has never challenged... until now. Like most teenagers, Anna is beginning to question who she truly is. But unlike most teenagers, she has always been defined in terms of her sister—and so Anna makes a decision that for most would be unthinkable, a decision that will tear her family apart and have perhaps fatal consequences for the sister she loves.A provocative novel that raises some important ethical issues, My Sister's Keeper is the story of one family's struggle for survival at all human costs and a stunning parable for all time.
4.06
Audie Award for Multi-Voiced Performance (2005), Pennsylvania Young Readers' Choice Award for Young Adults (2007), ALA Alex Award (2005), Lincoln Award (2006), Green Mountain Book Award (2007), Missouri Gateway Readers Award Nominee (2007)"
10,Tuck Everlasting,Natalie Babbitt,"Doomed to - or blessed with - eternal life after drinking from a magic spring, the Tuck family wanders about trying to live as inconspicuously and comfortably as they can. When ten-year-old Winnie Foster stumbles on their secret, the Tucks take her home and explain why living forever at one age is less a blessing that it might seem. Complications arise when Winnie is followed by a stranger who wants to market the spring water for a fortune.",3.86,Fantasy,[],"['Lewis Carroll Shelf Award (1978)', 'Christopher Award for Books for Young People (1976)', 'Young Hoosier Book Award Nominee (1976)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1977)"", ""Children's Choice Book Award"", ""Phoenix Award (Children's Literature Association) (1995)"", 'Bluestem Book Award Nominee (2017)']","Tuck Everlasting
Natalie Babbitt
Fantasy
Doomed to - or blessed with - eternal life after drinking from a magic spring, the Tuck family wanders about trying to live as inconspicuously and comfortably as they can. When ten-year-old Winnie Foster stumbles on their secret, the Tucks take her home and explain why living forever at one age is less a blessing that it might seem. Complications arise when Winnie is followed by a stranger who wants to market the spring water for a fortune.
3.86
Lewis Carroll Shelf Award (1978), Christopher Award for Books for Young People (1976), Young Hoosier Book Award Nominee (1976), Dorothy Canfield Fisher Children's Book Award Nominee (1977), Children's Choice Book Award, Phoenix Award (Children's Literature Association) (1995), Bluestem Book Award Nominee (2017)"
